Symbol,Name,MarketCap_Cr,BSECode,Segment,Exchange,Platform
MUL,Mauria Udyog Ltd,100.3,539219,micro,BSE,BSE Main Board+BSE SME
TITANSEC,Titan Securities Ltd,100.31,530045,micro,BSE,BSE Main Board+BSE SME
ALKALI,Alkali Metals Limited,100.61,533029,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SIL,Standard Industries Limited,101.06,530017,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
NEXOME,Nexome Capital Markets Ltd,101.34,508905,micro,BSE,BSE Main Board+BSE SME
VISTARAMAR,Vistar Amar Ltd,101.4,538565,micro,BSE,BSE Main Board+BSE SME
AMTECH,Amtech Esters Ltd,101.51,544920,micro,BSE,BSE Main Board+BSE SME
PARVATI,Parvati Sweetners and Power Ltd,101.57,541347,micro,BSE,BSE Main Board+BSE SME
APOLLOIN,Apollo Ingredients Ltd,101.76,503639,micro,BSE,BSE Main Board+BSE SME
MOTOGENFIN,The Motor & General Finance Limited,102.05,501343,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SPTRSHI,Saptarishi Agro Industries Ltd,102.07,519238,micro,BSE,BSE Main Board+BSE SME
VIPPYSP,Vippy Spinpro Ltd,102.14,514302,micro,BSE,BSE Main Board+BSE SME
ULTRACAB,Ultracab (India) Ltd,102.18,538706,micro,BSE,BSE Main Board+BSE SME
NAPL,Naturite Agro Products Ltd,102.19,538926,micro,BSE,BSE Main Board+BSE SME
PIONRINV,Pioneer Investcorp Limited,102.31,507864,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
DEEPAKSP,Deepak Spinners Ltd,102.63,514030,micro,BSE,BSE Main Board+BSE SME
MPKSTEELS,M P K Steels (I) Ltd,102.73,544553,micro,BSE,BSE Main Board+BSE SME
OPTIFIN,Optimus Finance Limited,102.82,531254,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
NARMADA,Narmada Agrobase Limited,102.88,543643,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
ANKIN,Anka India Ltd,103.14,531673,micro,BSE,BSE Main Board+BSE SME
BASANTGL,Basant Agro Tech India Ltd,103.22,524687,micro,BSE,BSE Main Board+BSE SME
SURATRAML,Surat Trade and Mercantile Ltd,103.26,530185,micro,BSE,BSE Main Board+BSE SME
SAMRATFORG,Samrat Forgings Ltd,103.28,543229,micro,BSE,BSE Main Board+BSE SME
MRP,MRP Agro Ltd,103.49,543262,micro,BSE,BSE Main Board+BSE SME
LOVABLE,Lovable Lingerie Limited,103.59,533343,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
PRODOCS,Prodocs Solutions Ltd,103.64,544643,micro,BSE,BSE Main Board+BSE SME
AUTOPINS,Auto Pins (India) Ltd,104.1,531994,micro,BSE,BSE Main Board+BSE SME
THAKDEV,Thakkers Developers Limited,104.45,526654,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
MNIL,Mega Nirman and Industries Ltd,104.59,539767,micro,BSE,BSE Main Board+BSE SME
MINID,Mini Diamonds India Ltd,104.65,523373,micro,BSE,BSE Main Board+BSE SME
PHARMAID,Pharmaids Pharmaceuticals Ltd,104.89,524572,micro,BSE,BSE Main Board+BSE SME
VANDU,Leo Dryfruits & Spices Trading Ltd,105.56,544329,micro,BSE,BSE Main Board+BSE SME
SVJ,S. V. J. ENTERPRISES Ltd,105.65,543799,micro,BSE,BSE Main Board+BSE SME
COMPUSOFT,Compucom Software Limited,105.71,532339,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
DBSTOCKBRO,DB (International) Stock Brokers Limited,105.91,530393,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
ZENITHEXPO,Zenith Exports Limited,105.96,512553,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
VGCL,Vibrant Global Capital Limited,106.02,538732,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SISL,Shantidoot Infra Services Ltd,106.08,543598,micro,BSE,BSE Main Board+BSE SME
GUJCONT,Gujarat Containers Ltd,106.18,513507,micro,BSE,BSE Main Board+BSE SME
AVROIND,AVRO INDIA LIMITED,106.4,543512,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
LAMBODHARA,Lambodhara Textiles Limited,106.43,590075,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
DIKSHA,Diksha Polymers Ltd,106.53,544798,micro,BSE,BSE Main Board+BSE SME
SUPTANERY,Super Tannery Limited,106.57,523842,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
TCIIND,TCI Industries Ltd,106.58,532262,micro,BSE,BSE Main Board+BSE SME
EY,Eyantra Ventures Ltd,107.0,512099,micro,BSE,BSE Main Board+BSE SME
GROVY,Grovy India Ltd,107.13,539522,micro,BSE,BSE Main Board+BSE SME
INDSILHYD,Indsil Hydro Power and Manganese Ltd,107.3,522165,micro,BSE,BSE Main Board+BSE SME
MCPL,Manoj Ceramic Ltd,107.46,544073,micro,BSE,BSE Main Board+BSE SME
VEL,Vaxfab Enterprises Ltd,108.08,542803,micro,BSE,BSE Main Board+BSE SME
RAJSREESUG,Rajshree Sugars & Chemicals Limited,108.12,500354,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
NARMADESH,Narmadesh Brass Industries Ltd,108.2,544680,micro,BSE,BSE Main Board+BSE SME
CRSL,Cressanda Railway Solutions Limited,108.33,512379,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
CHEMTECH,Chemtech Industrial Valves Ltd,108.36,537326,micro,BSE,BSE Main Board+BSE SME
SOMICONVEY,Somi Conveyor Beltings Limited,108.49,533001,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
XELPMOC,Xelpmoc Design And Tech Limited,108.9,542367,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
JYOTI,Jyoti Ltd,108.91,504076,micro,BSE,BSE Main Board+BSE SME
SURYALAXMI,Suryalakshmi Cotton Mills Limited,109.07,521200,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
WEIZMANIND,Weizmann Limited,109.17,523011,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
GSTL,Globesecure Technologies Limited,109.3,540654,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Emerge
LEXGLOBAL,Lexora Global Ltd,109.35,512345,micro,BSE,BSE Main Board+BSE SME
VLEGOV,VL E-Governance & IT Solutions Limited,109.54,543958,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SAMKRG,Samkrg Pistons & Rings Ltd,109.55,520075,micro,BSE,BSE Main Board+BSE SME
MTL,Mehul Telecom Ltd,109.74,544751,micro,BSE,BSE Main Board+BSE SME
NCLRESE,NCL Research & Financial Services Ltd,109.89,530557,micro,BSE,BSE Main Board+BSE SME
JOLYPLS,Jolly Plastic Industries Ltd,109.96,507968,micro,BSE,BSE Main Board+BSE SME
BNALTD,B & A Limited,110.05,508136,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
GODAVARI,Godavari Drugs Ltd,110.39,530317,micro,BSE,BSE Main Board+BSE SME
TECHNICHEM,Technichem Organics Ltd,110.86,544327,micro,BSE,BSE Main Board+BSE SME
BHARATAGRI,Bharat Agri Fert & Realty Ltd,110.89,531862,micro,BSE,BSE Main Board+BSE SME
GTL,GTL Limited,111.05,500160,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
RISHIROOP,Rishiroop Ltd,111.34,526492,micro,BSE,BSE Main Board+BSE SME
MAKERSL,Makers Laboratories Limited,111.55,506919,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
GANGESSECU,Ganges Securities Limited,111.89,540647,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
DHARNI,Dharni Capital Services Ltd,112.04,543753,micro,BSE,BSE Main Board+BSE SME
PMCFIN,PMC Fincorp Ltd,112.51,534060,micro,BSE,BSE Main Board+BSE SME
INDBANK,Indbank Merchant Banking Services Limited,112.68,511473,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
GARNETINT,Garnet International Ltd,112.9,512493,micro,BSE,BSE Main Board+BSE SME
VSL,Viram Suvarn Ltd,113.01,540252,micro,BSE,BSE Main Board+BSE SME
KOHINOOR,Kohinoor Foods Limited,113.14,512559,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
JAMESWARREN,James Warren Tea Ltd,113.17,538564,micro,BSE,BSE Main Board+BSE SME
SCOOBEEDAY,Scoobee Day Garments (India) Ltd,113.33,531234,micro,BSE,BSE Main Board+BSE SME
HIGHNESS,Highness Microelectronics Ltd,113.34,544741,micro,BSE,BSE Main Board+BSE SME
SHYAMCENT,Shyam Century Ferrous Limited,113.75,539252,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
AEGEUS,Aegeus Technologies Ltd,113.89,544858,micro,BSE,BSE Main Board+BSE SME
DEEP,Deep Polymers Limited,114.54,541778,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
NAGTECH,Nagarjuna Agri Tech Ltd,114.74,531832,micro,BSE,BSE Main Board+BSE SME
USK,Udayshivakumar Infra Limited,114.92,543861,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
DUROPLY,Duroply Industries Ltd,114.99,516003,micro,BSE,BSE Main Board+BSE SME
KAJARIR,KIC Metaliks Ltd,115.01,513693,micro,BSE,BSE Main Board+BSE SME
RSDFIN,RSD Finance Limited,115.09,539875,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SAMBHAAV,Sambhaav Media Limited,115.24,511630,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
AMDIND,AMD Industries Limited,115.25,532828,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
INTLCOMBQ,International Combustion India Ltd,115.39,505737,micro,BSE,BSE Main Board+BSE SME
VISHWARAJ,Vishwaraj Sugar Industries Limited,115.45,542852,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
HINDTIN,Hindustan Tin Works Ltd,115.64,530315,micro,BSE,BSE Main Board+BSE SME
ASSAMENT,Assam Entrade Limited,115.8,542911,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
VIRYA,Virya Resources Ltd,115.94,512479,micro,BSE,BSE Main Board+BSE SME
CRANESSOFT,Cranes Software International Ltd,116.33,512093,micro,BSE,BSE Main Board+BSE SME
BHILSPIN,Bhilwara Spinners Ltd,116.61,514272,micro,BSE,BSE Main Board+BSE SME
LAHOTIOV,Lahoti Overseas Limited,116.63,531842,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
BCPL,BCPL Railway Infrastructure Limited,116.68,542057,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
HINDHARD,Hindustan Hardy Ltd,116.85,505893,micro,BSE,BSE Main Board+BSE SME
CHEMCRUX,Chemcrux Enterprises Limited,117.21,540395,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
TYCHE,Tyche Industries Ltd,117.31,532384,micro,BSE,BSE Main Board+BSE SME
CHLOGIST,Chartered Logistics Ltd,117.48,531977,micro,BSE,BSE Main Board+BSE SME
SAMPANN,Sampann Utpadan India Limited,117.49,534598,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
RUCHINFRA,Ruchi Infrastructure Limited,117.54,509020,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
NSBBPO,NSB BPO Solutions Ltd,117.84,544571,micro,BSE,BSE Main Board+BSE SME
CAPPIPES,Captain Pipes Ltd,117.85,538817,micro,BSE,BSE Main Board+BSE SME
ITL,ITL Industries Limited,118.06,522183,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SHRIGANG,Shri Gang Industries & Allied Products Ltd,118.47,523309,micro,BSE,BSE Main Board+BSE SME
THACKER,Thacker & Company Limited,118.56,509945,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
YASHHTEJ,Yashhtej Industries (India) Ltd,118.86,544708,micro,BSE,BSE Main Board+BSE SME
DIGJAMLMTD,Digjam Limited,118.88,539979,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
VALENCIA,Valencia Nutrition Ltd,119.04,542910,micro,BSE,BSE Main Board+BSE SME
MCFL,Mayank Cattle Food Ltd,119.34,544106,micro,BSE,BSE Main Board+BSE SME
AAATECH,AAA Technologies Limited,119.76,543671,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
OKPLA,OK Play India Ltd,119.77,526415,micro,BSE,BSE Main Board+BSE SME
SKPMIL,Shree Krishna Paper Mills & Industries Ltd,119.87,500388,micro,BSE,BSE Main Board+BSE SME
ICONIKSPEV,Iconik Sports And Events Ltd,120.04,511260,micro,BSE,BSE Main Board+BSE SME
REXNORD,Rexnord Electronics & Controls Ltd,120.29,531888,micro,BSE,BSE Main Board+BSE SME
BIHSPONG,Bihar Sponge Iron Ltd,120.33,500058,micro,BSE,BSE Main Board+BSE SME
DUNCANENG,Duncan Engineering Ltd,120.43,504908,micro,BSE,BSE Main Board+BSE SME
EMIAC,Emiac Technologies Ltd,120.47,544747,micro,BSE,BSE Main Board+BSE SME
AKSHOPTFBR,Aksh Optifibre Limited,120.56,532351,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
ZAPPFRESH,DSM Fresh Foods Ltd,120.75,544568,micro,BSE,BSE Main Board+BSE SME
WHBRADY,WH Brady & Company Limited,120.84,501391,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
ISERA,iSERA Lifesciences Ltd,121.01,534920,micro,BSE,BSE Main Board+BSE SME
KREBSBIO,Krebs Biochemicals and Industries Limited,121.02,524518,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SANCTRN,Sanco Trans Ltd,121.09,523116,micro,BSE,BSE Main Board+BSE SME
CFEL,Confidence Futuristic Energetech Limited,121.27,539991,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
KANELIND,Kanel Industries Ltd,121.5,500236,micro,BSE,BSE Main Board+BSE SME
AIML,Alliance Integrated Metaliks Ltd,121.64,534064,micro,BSE,BSE Main Board+BSE SME
DHAMPURE,Dhampure Specialty Sugars Ltd,121.71,531923,micro,BSE,BSE Main Board+BSE SME
URAVIDEF,Uravi Defence and Technology Limited,122.09,543930,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
LGBFORGE,LGB Forge Ltd,122.2,533007,micro,BSE,BSE Main Board+BSE SME
OBCL,OBCL Limited,122.28,541206,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SONAL,Sonal Mercantile Limited,122.33,538943,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
AAYUSH,Aayush Wellness Ltd,122.36,539528,micro,BSE,BSE Main Board+BSE SME
SUPREME,Supreme Holdings & Hospitality (India) Limited,122.55,530677,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
ANIKINDS,Anik Industries Limited,122.67,519383,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
GSLSU,Global Surfaces Limited,122.91,543829,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
TRUSTEDGE,Trustedge Capital Ltd,123.19,532056,micro,BSE,BSE Main Board+BSE SME
RAJABAH,Raja Bahadur International Ltd,123.38,503127,micro,BSE,BSE Main Board+BSE SME
BENGALT,Bengal Tea & Fabrics Ltd,123.43,532230,micro,BSE,BSE Main Board+BSE SME
AMBARPIL,Ambar Protein Industries Ltd,123.63,519471,micro,BSE,BSE Main Board+BSE SME
MDRC,Modern Diagnostic & Research Centre Ltd,123.81,544673,micro,BSE,BSE Main Board+BSE SME
ELNET,Elnet Technologies Ltd,124.0,517477,micro,BSE,BSE Main Board+BSE SME
LKPSEC,LKP Securities Limited,124.11,540192,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SBVCL,Shri Balaji Valve Components Ltd,124.24,544074,micro,BSE,BSE Main Board+BSE SME
ZBINTXPP,Binayak Tex Processors Ltd,124.28,523054,micro,BSE,BSE Main Board+BSE SME
ASPIRA,Aspira Pathlab & Diagnostics Ltd,124.29,540788,micro,BSE,BSE Main Board+BSE SME
DELPHIFX,DELPHI WORLD MONEY LIMITED,124.35,533452,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
GATECH,GACM Technologies Limited,124.62,531723,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
INDIANCARD,Indian Card Clothing Company Limited,124.76,509692,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
AZTEC,Aztec Fluids & Machinery Ltd,124.85,544177,micro,BSE,BSE Main Board+BSE SME
KEMP,Kemp & Company Ltd,124.87,506530,micro,BSE,BSE Main Board+BSE SME
VJTFEDU,VJTF Eduservices Ltd,124.87,509026,micro,BSE,BSE Main Board+BSE SME
CUBEXTUB,Cubex Tubings Limited,125.06,526027,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
FYNX,Fynx Capital Ltd,125.4,507962,micro,BSE,BSE Main Board+BSE SME
APMIN,APM Industries Ltd,125.56,523537,micro,BSE,BSE Main Board+BSE SME
METHODHUB,Methodhub Software Ltd,125.68,544637,micro,BSE,BSE Main Board+BSE SME
AGVENTURES,AG Ventures Ltd,125.83,506579,micro,BSE,BSE Main Board+BSE SME
POPEES,Popees Baby Care India Ltd,126.17,531971,micro,BSE,BSE Main Board+BSE SME
KAIRA,Kaira Can Company Ltd,126.53,504840,micro,BSE,BSE Main Board+BSE SME
KIFS,KIFS Financial Services Ltd,126.57,535566,micro,BSE,BSE Main Board+BSE SME
RAAMA,Raama Finance Ltd,126.69,538540,micro,BSE,BSE Main Board+BSE SME
SHRAAITECH,Shradha AI Technologies Ltd,126.78,543976,micro,BSE,BSE Main Board+BSE SME
CORALFINAC,Coral India Finance & Housing Limited,126.79,531556,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
NIFTYBEES,Nippon India ETF Nifty 50 BeES,126.83,590103,micro,BSE,BSE Main Board+BSE SME
LACTOSE,Lactose India Ltd,126.9,524202,micro,BSE,BSE Main Board+BSE SME
ATVPR,ATV Projects India Ltd,126.9,500028,micro,BSE,BSE Main Board+BSE SME
PURETROP,Puretrop Fruits  Ltd,127.09,530077,micro,BSE,BSE Main Board+BSE SME
CITYSQUARE,Jay Ambe Supermarkets Ltd,127.78,544514,micro,BSE,BSE Main Board+BSE SME
NATPLASTI,National Plastic Technologies Ltd,127.89,531287,micro,BSE,BSE Main Board+BSE SME
SURANASOL,Surana Solar Limited,127.94,533298,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SILL,Sampark India Logistics Ltd,127.98,544810,micro,BSE,BSE Main Board+BSE SME
KESARENT,Kesar Enterprises Ltd,128.21,507180,micro,BSE,BSE Main Board+BSE SME
ALPA,Alpa Laboratories Limited,128.26,532878,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
GARGFUR,Garg Furnace Ltd,128.28,530615,micro,BSE,BSE Main Board+BSE SME
INDSUCR,Indian Sucrose Ltd,128.48,500319,micro,BSE,BSE Main Board+BSE SME
CHOKSI,Choksi Asia Ltd,128.84,530427,micro,BSE,BSE Main Board+BSE SME
FRESITA,Fresita Proteins Ltd,128.98,519242,micro,BSE,BSE Main Board+BSE SME
WORTH,Worth Investment & Trading Co Ltd,129.01,538451,micro,BSE,BSE Main Board+BSE SME
AARNAV,Aarnav Fashions Limited,129.04,539562,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
KESARPE,Kesar Petroproducts Ltd,129.06,524174,micro,BSE,BSE Main Board+BSE SME
ABATEAS,Abate As Industries Ltd,129.08,531658,micro,BSE,BSE Main Board+BSE SME
SCDL,Safety Controls & Devices Ltd,129.11,544746,micro,BSE,BSE Main Board+BSE SME
BTML,Bodhi Tree Multimedia Limited,129.19,543767,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
PANAFIC,Panafic Industrials Ltd,129.59,538860,micro,BSE,BSE Main Board+BSE SME
RISHILASE,Rishi Laser Ltd,129.6,526861,micro,BSE,BSE Main Board+BSE SME
BSL,BSL Limited,129.68,514045,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
MAGNUM,Magnum Ventures Limited,129.84,532896,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
ATIL,Apollo Techno Industries Ltd,130.05,544671,micro,BSE,BSE Main Board+BSE SME
SADBHAV,Sadbhav Engineering Limited,130.05,532710,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
ESCORP,Escorp Asset Management Ltd,130.34,540455,micro,BSE,BSE Main Board+BSE SME
ONELIFECAP,Onelife Capital Advisors Limited,130.46,533632,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
PCCOSMA,Pee Cee Cosma Sope Ltd,130.51,524136,micro,BSE,BSE Main Board+BSE SME
DEVIT,Dev Information Technology Limited,130.54,543462,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SWADPOL,Swadeshi Polytex Ltd,131.39,503816,micro,BSE,BSE Main Board+BSE SME
MUKTAARTS,Mukta Arts Limited,131.45,532357,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
PRIMIND,Prime Industries Ltd,131.75,519299,micro,BSE,BSE Main Board+BSE SME
SPML,Speciality Medicines Ltd,131.79,544738,micro,BSE,BSE Main Board+BSE SME
AFLTD,Autofurnish Ltd,132.14,544767,micro,BSE,BSE Main Board+BSE SME
PREMCO,Premco Global Limited,132.21,530331,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
OSIAJEE,Osiajee Texfab Ltd,132.25,540198,micro,BSE,BSE Main Board+BSE SME
ACCORDTS,Accord Transformer & Switchgear Ltd,132.29,544710,micro,BSE,BSE Main Board+BSE SME
UPSURGE,Upsurge Investment & Finance Ltd,132.45,531390,micro,BSE,BSE Main Board+BSE SME
KEYFINSERV,Keynote Financial Services Limited,132.46,512597,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
CHOKSILA,Choksi Laboratories Ltd,133.25,526546,micro,BSE,BSE Main Board+BSE SME
LAPL,LAPL Automotive Ltd,133.26,544863,micro,BSE,BSE Main Board+BSE SME
WEPSOLN,WEP Solutions Ltd,133.89,532373,micro,BSE,BSE Main Board+BSE SME
KANSHST,Kanishk Steel Industries Ltd,134.39,513456,micro,BSE,BSE Main Board+BSE SME
BRNL,Bharat Road Network Limited,134.82,540700,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
ISHANCH,Ishan Dyes and Chemicals Limited,134.83,531109,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
STARDELTA,Star Delta Transformers Ltd,135.16,539255,micro,BSE,BSE Main Board+BSE SME
HRHYGIENE,H. R. Hygiene Products Ltd,136.27,544848,micro,BSE,BSE Main Board+BSE SME
STARIMAGIN,Star Imaging And Path Lab Ltd,136.38,544482,micro,BSE,BSE Main Board+BSE SME
ZEAL,Zeal Global Services Limited,136.4,539963,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Emerge
PARNAXLAB,Parnax Lab Limited,136.85,506128,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
TRADWIN,Trade Wings Ltd,136.92,509953,micro,BSE,BSE Main Board+BSE SME
HPIL,Hindprakash Industries Limited,137.09,543645,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
STDSFAC,Standard Surfactants Ltd,137.37,526231,micro,BSE,BSE Main Board+BSE SME
ARCHITORG,Archit Organosys Ltd,137.74,524640,micro,BSE,BSE Main Board+BSE SME
ENS,ENS Enterprises Ltd,137.78,544876,micro,BSE,BSE Main Board+BSE SME
TIPSFILMS,Tips Films Limited,137.88,543614,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
TIRUSTA,Tirupati Starch & Chemicals Ltd,137.89,524582,micro,BSE,BSE Main Board+BSE SME
MODAIRY,Modern Dairies Ltd,138.09,519287,micro,BSE,BSE Main Board+BSE SME
SHARVAYA,Sharvaya Metals Ltd,138.41,544506,micro,BSE,BSE Main Board+BSE SME
CRAZY,Crazy Snacks Ltd,138.6,544807,micro,BSE,BSE Main Board+BSE SME
LATIMMETAL,La Tim Metal & Industries Ltd,138.99,505693,micro,BSE,BSE Main Board+BSE SME
SHBAJRG,Shri Bajrang Alliance Limited,139.05,526981,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
RDGAIL,Rukmani Devi Garg Agro Impex Ltd,139.13,544552,micro,BSE,BSE Main Board+BSE SME
GARWAOFFS,Garware Offshore Services Ltd,139.97,501848,micro,BSE,BSE Main Board+BSE SME
TARMAT,Tarmat Limited,139.98,532869,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
PJL,Patdiam Jewellery Ltd,140.3,539401,micro,BSE,BSE Main Board+BSE SME
AVAILFC,Available Finance Ltd,140.35,531310,micro,BSE,BSE Main Board+BSE SME
EASTINDIA,East India Drums and Barrels Manufacturing Ltd,140.36,523874,micro,BSE,BSE Main Board+BSE SME
GUJINJEC,Gujarat Inject Kerala Ltd,140.63,524238,micro,BSE,BSE Main Board+BSE SME
DACHEPALLI,Dachepalli Publishers Ltd,140.77,544667,micro,BSE,BSE Main Board+BSE SME
GLOBALLOG,Global Ocean Logistics India Ltd,140.82,544665,micro,BSE,BSE Main Board+BSE SME
JKAGRI,JK Agri Genetics Ltd,141.43,536493,micro,BSE,BSE Main Board+BSE SME
SALONA,Salona Cotspin Limited,141.8,590056,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SECMARK,SecMark Consultancy Limited,141.97,543234,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
DCM,DCM  Limited,142.06,502820,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
KAMOPAINTS,Kamdhenu Ventures Limited,142.13,543747,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
BRIGHTBR,Bright Brothers Limited,142.83,526731,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
IKOMA,Ikoma Technologies Ltd,143.34,531997,micro,BSE,BSE Main Board+BSE SME
GUJINTRX,Gujarat Intrux Ltd,143.96,517372,micro,BSE,BSE Main Board+BSE SME
DESCO,Desco Infratech Ltd,144.04,544387,micro,BSE,BSE Main Board+BSE SME
CALSOFT,California Software Company Limited,144.1,532386,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
INDOWIND,Indowind Energy Limited,144.42,532894,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SUPRAPFSL,Supra Pacific Financial Services Ltd,144.82,540168,micro,BSE,BSE Main Board+BSE SME
KEIL,Kanoria Energy & Infrastructure Ltd,145.0,539620,micro,BSE,BSE Main Board+BSE SME
PANCHSHEEL,Panchsheel Organics Ltd,145.02,531726,micro,BSE,BSE Main Board+BSE SME
RELIABLE,Reliable Data Services Limited,145.31,544207,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
DGCONTENT,Digicontent Limited,145.35,542685,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
LOYAL,Loyal Equipments Ltd,145.4,539227,micro,BSE,BSE Main Board+BSE SME
KIMIABL,Kimia Biosciences Ltd,146.01,530313,micro,BSE,BSE Main Board+BSE SME
MAIDEN,Maiden Forgings Ltd,146.45,543874,micro,BSE,BSE Main Board+BSE SME
INDTERRAIN,Indian Terrain Fashions Limited,146.53,533329,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
GVELECTRIC,G V Electricals Ltd,147.19,544859,micro,BSE,BSE Main Board+BSE SME
HARSHDEEP,Harshdeep Hortico Ltd,147.26,544105,micro,BSE,BSE Main Board+BSE SME
